Country Name,name,gppd_idnr,capacity_mw,latitude,longitude,Primary Fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
Myanmar,Ahlone,WRI1061349,154.2,16.78,96.131,Gas,,,,,Myanmar Electric Power Enterprise (MEPE),Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,WRI,1023224,,,,,,,,,,,,,,,,,,,
Myanmar,Baluchaung BHP (1),WRI1061350,28,19.57,97.316,Hydro,,,,1992,Myanmar Electric Power Enterprise (MEPE),Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,WRI,1083646,,,,,,,,,,,,,,,,,,,
Myanmar,Baluchaung BHP (2),WRI1061351,168,19.56,97.359,Hydro,,,,1974,Myanmar Electric Power Enterprise (MEPE),Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,WRI,1083647,,,,,,,,,,,,,,,,,,,
Myanmar,Hlawga,WRI1061352,154.2,16.98,96.125,Gas,,,,,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,WRI,1109529,,,,,,,,,,,,,,,,,,,
Myanmar,KengTawn,WRI1061353,54,20.91,97.975,Hydro,,,,2008,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,WRI,1063744,,,,,,,,,,,,,,,,,,,
Myanmar,Khabaung,WRI1061354,30,19.16,96.717,Hydro,,,,2008,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,WRI,1065662,,,,,,,,,,,,,,,,,,,
Myanmar,Kinda,WRI1061355,56,21.81,95.589,Hydro,,,,1985,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,WRI,1023229,,,,,,,,,,,,,,,,,,,
Myanmar,Kun,WRI1061356,60,18.42,96.364,Hydro,,,,2011,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,WRI,,,,,,,,,,,,,,,,,,,,
Myanmar,Kyaukse,WRI1061379,102,21.6,86.213,Gas,,,,2015,Myanmar Electric Power Enterprise (MEPE),Power Mag,http://www.powermag.com/kyaukse-power-plant-kyaukse-myanmar-owneroperator-myanmar-electric-power-enterpriseapr-energy/?pagenum=1,WRI,1101354,,,,,,,,,,,,,,,,,,,
Myanmar,Kyee ON Kyee Wa,WRI1061357,74,18.9,96.221,Hydro,,,,2012,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,WRI,1088942,,,,,,,,,,,,,,,,,,,
