Entity,Code,Year,Coal electricity per capita (kWh),Gas electricity per capita (kWh),Oil electricity per capita (kWh),Nuclear electricity per capita (kWh),Hydro electricity per capita (kWh),Wind electricity per capita (kWh),Solar electricity per capita (kWh),Other renewable electricity including bioenergy per capita (kWh)
Indonesia,IDN,1985,31.43680954,10.94557381,39.66307831,0,16.68686867,0,0,0
Indonesia,IDN,1986,31.62588882,11.01140594,39.90163422,0,26.33841515,0,0,0
Indonesia,IDN,1987,35.86061478,12.4858427,45.24449158,0,26.57975006,0,0,0
Indonesia,IDN,1988,43.12256622,15.01428699,54.40672302,0,28.65025711,0,0,0
Indonesia,IDN,1989,47.549366,16.5555954,59.99191666,0,35.09358215,0,0,0
Indonesia,IDN,1990,53.62332916,18.66909218,67.65529633,0,35.64143753,0,0,6.189177513
Indonesia,IDN,1991,59.59363556,23.46671867,76.84362793,0,39.97151947,0,0,5.67249155
Indonesia,IDN,1992,60.25549316,17.23280144,79.23305511,0,51.15380096,0,0,5.75810957
Indonesia,IDN,1993,55.70831299,22.51669502,76.79116821,0,46.3711586,0,0,5.69513607
Indonesia,IDN,1994,65.69165802,63.27190399,57.46075058,0,40.95316315,0,0,8.22819519
Indonesia,IDN,1995,72.50730896,104.3026276,43.29869461,0,41.85491943,0,0,11.16648865
Indonesia,IDN,1996,82.78440857,108.532196,45.54649734,0,43.82084656,0,0,11.63443375
Indonesia,IDN,1997,100.0485306,144.7283783,58.67383575,0,28.66479492,0,0,13.33336449
Indonesia,IDN,1998,107.9429321,149.4945984,45.85113525,0,49.85915756,0,0,15.81146622
Indonesia,IDN,1999,124.8117828,158.7585754,46.51958847,0,49.1939888,0,0,18.67671967
Indonesia,IDN,2000,158.8341064,149.1504669,58.41013718,0,46.78790665,0,0,22.76052094
Indonesia,IDN,2001,173.7026367,152.3957062,60.6367836,0,53.68186569,0,0,27.79481506
Indonesia,IDN,2002,195.0298004,148.9766083,74.11576843,0,45.12639236,0,0,28.36379814
Indonesia,IDN,2003,208.2614899,151.246109,77.85543823,0,40.78803253,0,0,28.24948883
Indonesia,IDN,2004,213.3809814,163.8940887,82.14621735,0,42.81694031,0,0,29.50182152
Indonesia,IDN,2005,226.5027618,179.5755005,75.59707642,0,46.87394714,0,0,28.91106033
Indonesia,IDN,2006,253.095993,174.2133179,76.56684875,0,41.51469803,0,0,28.79238129
Indonesia,IDN,2007,272.0874634,179.0696869,77.23806763,0,48.05451202,8.51577E-05,0,29.97126579
Indonesia,IDN,2008,258.4442749,198.477829,87.52455902,0,48.45093918,0.001134756,0.00042028,35.03704834
Indonesia,IDN,2009,273.5205994,208.6564941,82.39685059,0,47.23955917,0.015229397,0.00041497,38.70235825
Indonesia,IDN,2010,280.6251526,226.9945831,77.89151764,0,71.53713989,0.014917044,0.002131006,38.53961563
Indonesia,IDN,2011,328.1670227,232.5293121,92.50582123,0,50.25866318,0.018980194,0.003116151,38.74100494
Indonesia,IDN,2012,408.3013306,216.1145782,86.25601196,0,51.15087891,0.018423589,0.012029285,38.68821716
Indonesia,IDN,2013,439.2502441,229.1918182,80.39453888,0,66.81558228,0.000394826,0.021715447,37.81457138
Indonesia,IDN,2014,466.5032349,236.2615204,89.9147644,0,59.170681,0,0.026577709,40.0488205
Indonesia,IDN,2015,481.1322021,208.9459229,119.3047409,0,53.0334053,0.014280643,0.020378863,40.59629822
Indonesia,IDN,2016,517.0144653,235.970047,79.4310379,0,71.32662964,0.021729983,0.080542244,42.93680573
Indonesia,IDN,2017,559.4143066,211.0813293,71.26113892,0,70.44412231,0,0.10983035,50.48162079
Indonesia,IDN,2018,599.1491089,215.1051331,67.19380951,0,81.01483917,0.711357474,0.338005275,99.03243256
Indonesia,IDN,2019,647.2703247,231.1682434,39.25323486,0,78.49533844,1.795366287,0.438751906,97.48950195
Indonesia,IDN,2020,665.3069458,188.6131897,24.88063622,0,89.47686768,1.747235775,0.628894508,102.7393036
Indonesia,IDN,2021,693.9024048,205.5318451,24.2846489,,90.21630096,1.596328497,0.703626513,112.7822571
